Ground,reSASC,SASC,Measure
-1914.913363466796,-2046.777093,-2046.777093,Log-Likelihood
-1598.924991950122,-1469.568104,-1469.568104,Log-Likelihood
-1612.8596649923486,-1892.76248,-1892.76248,Log-Likelihood
-1553.5184837730635,-1640.432134,-1640.432134,Log-Likelihood
-2089.7829380113944,-2189.492557,-2189.492557,Log-Likelihood
-1442.8844722532185,-1463.517076,-1463.517076,Log-Likelihood
-1724.8575077631592,-1652.531722,-1652.531722,Log-Likelihood
-1453.6745974626403,-1477.983618,-1477.983618,Log-Likelihood
-1605.016681481277,-1494.630893,-1494.630893,Log-Likelihood
-2019.2858852561922,-2287.128719,-2287.128719,Log-Likelihood
-1301.4287583487828,-1542.008317,-1542.008317,Log-Likelihood
-1777.1691165438344,-1799.581027,-1799.581027,Log-Likelihood
-2274.3359256489234,-2474.527868,-2474.527868,Log-Likelihood
-1715.8679651568991,-1643.424377,-1643.424377,Log-Likelihood
-1467.395601822319,-1686.558644,-1686.558644,Log-Likelihood
-1387.7652657770402,-1489.425292,-1489.425292,Log-Likelihood
-1706.9757571034572,-1587.104419,-1587.104419,Log-Likelihood
-1570.6989379760114,-1397.70852,-1397.70852,Log-Likelihood
-1948.3463516080815,-1830.489926,-1830.489926,Log-Likelihood
-1349.704151918508,-1493.079554,-1493.079554,Log-Likelihood
-1695.8723627335219,-1811.242663,-1811.242663,Log-Likelihood
-1687.704631364903,-1564.039073,-1564.039073,Log-Likelihood
-1397.961273437169,-1412.902547,-1412.902547,Log-Likelihood
-1416.0190481544246,-1343.57546,-1343.57546,Log-Likelihood
-2070.22159446022,-2175.590291,-2175.590291,Log-Likelihood
-1375.5859673462028,-1354.364348,-1354.364348,Log-Likelihood
-1532.4698378895428,-1700.152883,-1700.152883,Log-Likelihood
-1716.73700514263,-1821.976688,-1821.976688,Log-Likelihood
-1554.9282369704063,-1628.01381,-1628.01381,Log-Likelihood
-1538.839042951027,-1511.926094,-1511.926094,Log-Likelihood
-1356.0884832366564,-1410.751264,-1410.751264,Log-Likelihood
-1036.0239187914449,-1130.526009,-1130.526009,Log-Likelihood
-1703.6832128716521,-1610.371415,-1610.371415,Log-Likelihood
-1559.6114601058318,-1591.626724,-1591.626724,Log-Likelihood
-1214.2514072560905,-1208.324471,-1208.324471,Log-Likelihood
-1521.1547448469078,-1655.012344,-1655.012344,Log-Likelihood
-1211.3921323986497,-1440.008471,-1440.008471,Log-Likelihood
-1755.9085719866134,-1689.156313,-1689.156313,Log-Likelihood
-1685.5174435681813,-1730.630167,-1730.630167,Log-Likelihood
-1285.4984350881969,-1328.778556,-1328.778556,Log-Likelihood
-1620.4791475529653,-1663.759268,-1663.759268,Log-Likelihood
-1784.4079066573827,-1951.000176,-1951.000176,Log-Likelihood
-1378.4102121561853,-1353.512176,-1353.512176,Log-Likelihood
-1510.5214901471363,-1523.447851,-1523.447851,Log-Likelihood
-1431.8168185453649,-1768.568426,-1762.328789,Log-Likelihood
-1347.7790632900058,-1402.441844,-1402.441844,Log-Likelihood
-2215.535828389302,-2398.686034,-2398.686034,Log-Likelihood
-1195.8411549183652,-1414.875183,-1414.875183,Log-Likelihood
-1238.8133265764425,-1369.360506,-1369.360506,Log-Likelihood
-1076.4883522224895,-1129.254023,-1129.254023,Log-Likelihood
