reSASC,SASC,Measure
0.528595368023031,0.528595368023031,MP3
0.5254157177845572,0.5254157177845572,MP3
0.5419584926739139,0.5419584926739139,MP3
0.47363898079319383,0.47363898079319383,MP3
0.5380483822455205,0.5380483822455205,MP3
0.4532272727272727,0.4532272727272727,MP3
0.5020909090909091,0.5020909090909091,MP3
0.4466978902590985,0.4466978902590985,MP3
0.530443002621063,0.530443002621063,MP3
0.5651613457654793,0.5651613457654793,MP3
0.4224637992523525,0.4224637992523525,MP3
0.5408413182658016,0.5408413182658016,MP3
0.5340093670777296,0.5340093670777296,MP3
0.5492630945731105,0.5492630945731105,MP3
0.5697589481373265,0.5697589481373265,MP3
0.44472727272727275,0.44472727272727275,MP3
0.5660636789412624,0.5660636789412624,MP3
0.5166501955055214,0.5166501955055214,MP3
0.5471818181818182,0.5471818181818182,MP3
0.5472865552356808,0.5472865552356808,MP3
0.46831091823142695,0.46891247368194905,MP3
0.577063550036523,0.577063550036523,MP3
0.5309090909090909,0.5309090909090909,MP3
0.48953723198556265,0.48953723198556265,MP3
0.5447943969406609,0.5447943969406609,MP3
0.4178232286340394,0.4178232286340394,MP3
0.49473638980793194,0.49473638980793194,MP3
0.5932625789541529,0.5932625789541529,MP3
0.51458771967516,0.51458771967516,MP3
0.5489193486013836,0.5489193486013836,MP3
0.4143857689167705,0.4143857689167705,MP3
0.3770463627379367,0.3770463627379367,MP3
0.5528724272762429,0.5528724272762429,MP3
0.5290909090909091,0.5290909090909091,MP3
0.4843181818181818,0.4843181818181818,MP3
0.5238688609117862,0.5238688609117862,MP3
0.48347870923387615,0.48347870923387615,MP3
0.5458256348558416,0.5458256348558416,MP3
0.52580243200275,0.52580243200275,MP3
0.4103037855025136,0.4103037855025136,MP3
0.5688566149615434,0.5688566149615434,MP3
0.4880333433592575,0.4880333433592575,MP3
0.4052272727272727,0.4052272727272727,MP3
0.5451381429123877,0.5451381429123877,MP3
0.5082284191982125,0.5380483822455205,MP3
0.40759678597516436,0.40759678597516436,MP3
0.5101190220427104,0.5101190220427104,MP3
0.3089416920895458,0.3089416920895458,MP3
0.44854552485713056,0.4490181755682551,MP3
0.4146435783955657,0.4146435783955657,MP3
