reSASC,Dollo-k,PP,Measure
0.876010781671159,0.8656914893617021,0.863059452237809,Ancestor-Descendant
0.8261538461538462,0.8333333333333333,0.8261538461538462,Ancestor-Descendant
0.8620988725065047,0.8208092485549133,0.8235294117647058,Ancestor-Descendant
0.8515406162464985,0.8345916266300618,0.8491620111731844,Ancestor-Descendant
0.7921686746987951,0.7920059215396003,0.8252279635258358,Ancestor-Descendant
0.8323513658275308,0.8586839266450917,0.8836956521739131,Ancestor-Descendant
0.829736211031175,0.83206106870229,0.838813151563753,Ancestor-Descendant
0.8510048510048511,0.8510048510048511,0.8684582743988685,Ancestor-Descendant
0.8996282527881041,0.901863354037267,0.8943089430894309,Ancestor-Descendant
0.8734549735138316,0.8829787234042553,0.8695652173913043,Ancestor-Descendant
0.8344481605351171,0.8410428931875525,0.8245614035087719,Ancestor-Descendant
0.8440366972477064,0.8369230769230769,0.8369230769230769,Ancestor-Descendant
0.8589420654911839,0.863837872070931,0.863837872070931,Ancestor-Descendant
0.8216007714561234,0.808349146110057,0.808349146110057,Ancestor-Descendant
0.8003875968992248,0.8042635658914729,0.8023255813953488,Ancestor-Descendant
0.8644501278772379,0.8635204081632654,0.8644501278772379,Ancestor-Descendant
0.853273137697517,0.8377976190476191,0.8106463878326997,Ancestor-Descendant
0.8550135501355014,0.8606390210740993,0.8606390210740993,Ancestor-Descendant
0.84,0.84,0.8380952380952381,Ancestor-Descendant
0.8370221327967807,0.8229475766567754,0.8091908091908093,Ancestor-Descendant
0.8333333333333335,0.8470380194518126,0.8507992895204264,Ancestor-Descendant
0.7194805194805194,0.7113924050632912,0.7009803921568628,Ancestor-Descendant
0.8192771084337349,0.8567314614830813,0.8269230769230769,Ancestor-Descendant
0.7734033245844268,0.7586206896551724,0.8101933216168717,Ancestor-Descendant
0.8592927012791572,0.8382242287434161,0.8277945619335347,Ancestor-Descendant
0.8251618871415357,0.8162111215834118,0.8003784295175023,Ancestor-Descendant
0.854656222802437,0.8529411764705881,0.8469750889679716,Ancestor-Descendant
0.8208409506398537,0.818348623853211,0.8033395176252318,Ancestor-Descendant
0.8575518969219758,0.8604151753758054,0.8546886184681461,Ancestor-Descendant
0.8608534322820037,0.8449682683590208,0.8395285584768812,Ancestor-Descendant
0.8274706867671692,0.8032653061224491,0.8369384359400998,Ancestor-Descendant
0.8249097472924188,0.8059964726631395,0.8059964726631395,Ancestor-Descendant
0.853932584269663,0.8398328690807799,0.8445378151260504,Ancestor-Descendant
0.8679245283018868,0.8455882352941176,0.8679245283018868,Ancestor-Descendant
0.8057416267942584,0.7830188679245284,0.7830188679245284,Ancestor-Descendant
0.7445086705202312,0.7393800229621125,0.7445086705202312,Ancestor-Descendant
0.8191056910569106,0.7939999999999998,0.7939999999999998,Ancestor-Descendant
0.857872340425532,0.857872340425532,0.857872340425532,Ancestor-Descendant
0.8761904761904762,0.8761904761904762,0.8653846153846154,Ancestor-Descendant
0.8348170128585559,0.826771653543307,0.8202137998056366,Ancestor-Descendant
0.8227360308285163,0.8180076628352491,0.811284046692607,Ancestor-Descendant
0.8642501776830136,0.8450312717164697,0.8467966573816156,Ancestor-Descendant
0.8027888446215139,0.8027888446215139,0.8027888446215139,Ancestor-Descendant
0.8618042226487523,0.8598848368522073,0.8443579766536965,Ancestor-Descendant
0.867870036101083,0.8482709950599859,0.867870036101083,Ancestor-Descendant
0.8138957816377171,0.7977254264825345,0.8122415219189414,Ancestor-Descendant
0.7942238267148014,0.8028673835125447,0.7942238267148014,Ancestor-Descendant
0.8376681614349777,0.8376681614349777,0.8003679852805888,Ancestor-Descendant
0.8518518518518519,0.8262910798122065,0.8475120385232745,Ancestor-Descendant
0.8349900596421471,0.823529411764706,0.823529411764706,Ancestor-Descendant
