reSASC,Dollo-k,PP,infSCITE,Measure
0.9381181124611473,0.9437500000000001,0.9437500000000001,0.9437500000000001,Different Lineages
0.9617685305591677,0.9581371009942439,0.9581371009942439,0.9534275248560964,Different Lineages
0.9551214361140444,0.9402072814243954,0.9402072814243954,0.9476426152643919,Different Lineages
0.953228266395526,0.9409358220403989,0.9409358220403989,0.9502650845746023,Different Lineages
0.9541555752735877,0.9467737139458817,0.9467737139458817,0.9501621940430551,Different Lineages
0.9540229885057471,0.9498243853487205,0.9498243853487205,0.9415552253590886,Different Lineages
0.9570063694267517,0.9561752988047808,0.9561752988047808,0.9561752988047808,Different Lineages
0.9533995416348356,0.9472065607380831,0.946694003075346,0.9441312147616607,Different Lineages
0.9619412515964241,0.9579487179487179,0.9579487179487179,0.951362363127069,Different Lineages
0.9569798068481125,0.9569798068481125,0.9569798068481125,0.9338609383832674,Different Lineages
0.9650215620507907,0.9491032476975279,0.9491032476975279,0.9551807228915663,Different Lineages
0.9490153763150795,0.9450311399945843,0.9450311399945843,0.946742362800757,Different Lineages
0.9482239614689946,0.9453551912568305,0.9453551912568305,0.9482239614689946,Different Lineages
0.9496157130657558,0.9487179487179488,0.9487179487179488,0.9481481481481482,Different Lineages
0.9554865424430642,0.9506656225528581,0.9506656225528581,0.9551546391752577,Different Lineages
0.9474478249937139,0.9404883011190234,0.9404883011190234,0.9469160768452983,Different Lineages
0.9432721293505071,0.9500277623542476,0.9505830094392005,0.9494725152692949,Different Lineages
0.9327073552425664,0.9321857068335941,0.9332290036515389,0.9321857068335941,Different Lineages
0.9404828747894441,0.9369014084507042,0.9369014084507042,0.9369014084507042,Different Lineages
0.9596814335490292,0.9526434477574542,0.9526434477574542,0.954477981197427,Different Lineages
0.9542553191489362,0.9418356456776948,0.9418356456776948,0.9491255961844196,Different Lineages
0.958221746116765,0.953763440860215,0.953763440860215,0.9452277657266811,Different Lineages
0.9572562068082927,0.9581827568404749,0.9581827568404749,0.9592829705505761,Different Lineages
0.9573170731707317,0.9560776302349336,0.9560776302349336,0.9560776302349336,Different Lineages
0.9360743452548579,0.9292986425339367,0.9321266968325792,0.9418994413407822,Different Lineages
0.9647869982762866,0.9601780855800148,0.9601780855800148,0.9645320197044335,Different Lineages
0.9569892473118279,0.9569892473118279,0.9569892473118279,0.9599391480730223,Different Lineages
0.9507389162561577,0.9475706835026078,0.9481196815811145,0.9427480916030534,Different Lineages
0.9443473920638882,0.9428643342562296,0.9428643342562296,0.9428643342562296,Different Lineages
0.9493571241144058,0.9500667556742324,0.9500667556742324,0.9446764091858039,Different Lineages
0.9530651340996169,0.9440271383571602,0.9440271383571602,0.9456547761551353,Different Lineages
0.9644177449168206,0.957916763543362,0.957916763543362,0.9499770536943551,Different Lineages
0.9433643279797125,0.9400452488687783,0.9394796380090498,0.9339330896823167,Different Lineages
0.9505106048703849,0.9483542948889483,0.9483542948889483,0.9531166755460843,Different Lineages
0.9652361543994246,0.9600000000000001,0.9600000000000001,0.9633181491249101,Different Lineages
0.9535062933470332,0.9553548387096774,0.9553548387096774,0.9397590361445782,Different Lineages
0.9612823674475955,0.9525474525474525,0.9525474525474525,0.9556046112337503,Different Lineages
0.9394736842105263,0.9480138629698748,0.9480138629698748,0.9508109545333687,Different Lineages
0.9569509185632027,0.9553719008264463,0.9553719008264463,0.9492635024549919,Different Lineages
0.9559108527131782,0.945124938755512,0.945124938755512,0.9518013631937683,Different Lineages
0.9489714133048356,0.9451022604951561,0.9456404736275565,0.9459241323648103,Different Lineages
0.9485334809075815,0.9407180629000834,0.9407180629000834,0.9468732706142777,Different Lineages
0.9604130808950087,0.9565646594274433,0.9565646594274433,0.9551503203548545,Different Lineages
0.9615482556659026,0.9516920692327564,0.9516920692327564,0.9516920692327564,Different Lineages
0.9626168224299064,0.951789264413519,0.951789264413519,0.9568007899284127,Different Lineages
0.9651448208149239,0.9587959536146065,0.9587959536146065,0.9600788565795959,Different Lineages
0.9581993569131833,0.950983269738773,0.950983269738773,0.9547973170020414,Different Lineages
0.9586581620600049,0.9507962918944615,0.9507962918944615,0.953780516710121,Different Lineages
0.9601386481802425,0.9455457967377666,0.946047678795483,0.950915750915751,Different Lineages
0.9425837320574163,0.9478219243657253,0.9478219243657253,0.9429115128449096,Different Lineages
