Ground,reSASC,Dollo-k,PP,infSCITE,Measure
-1790.244299727372,-1676.728793,-1589.582049,-2164.414829,0.0,Log-Likelihood
-922.7178776369673,-696.896924,-710.97197,-851.947124,0.0,Log-Likelihood
-1349.354022393658,-1146.438702,-1186.278012,-1412.623115,0.0,Log-Likelihood
-1479.363819320634,-1339.465444,-1363.939334,-1706.008147,0.0,Log-Likelihood
-1358.3542417817553,-1128.616957,-1146.483834,-1405.079808,0.0,Log-Likelihood
-1190.7102682516593,-1023.988969,-1094.295207,-1292.18366,0.0,Log-Likelihood
-1555.1649290245045,-1363.006495,-1461.656215,-2025.170841,0.0,Log-Likelihood
-1509.184040925114,-1300.873935,-1329.266447,-1557.390857,0.0,Log-Likelihood
-1873.3455085652492,-1744.477455,-1704.638145,-2181.401767,0.0,Log-Likelihood
-1261.8620002222553,-1073.05218,-1083.57194,-1374.183177,0.0,Log-Likelihood
-1444.4399385445145,-1291.139308,-1285.330175,-1610.324997,0.0,Log-Likelihood
-1325.2149636246763,-1198.266241,-1371.124011,-1776.759215,0.0,Log-Likelihood
-1183.8383697618922,-1053.331866,-1180.060907,-1567.176559,0.0,Log-Likelihood
-1410.9385390457212,-1193.087764,-1223.973976,-1378.111097,0.0,Log-Likelihood
-1128.7026567336309,-933.337051,-994.280176,-1449.294914,0.0,Log-Likelihood
-1123.263827935179,-954.632037,-1134.963958,-1317.094971,0.0,Log-Likelihood
-1177.9396982176258,-1010.602544,-1247.741292,-1579.840754,0.0,Log-Likelihood
-1728.1194570485468,-1557.432712,-1760.396249,-1994.329793,0.0,Log-Likelihood
-1449.5622985680639,-1239.970372,-1357.346762,-1637.998481,0.0,Log-Likelihood
-1183.8763678384407,-978.058118,-1019.494803,-1324.873458,0.0,Log-Likelihood
-1626.3286148851503,-1432.937886,-1512.584252,-1798.895048,0.0,Log-Likelihood
-1330.4602775577741,-1145.262579,-1147.159689,-1335.562592,0.0,Log-Likelihood
-1476.902378748376,-1267.949722,-1404.765916,-1608.110093,0.0,Log-Likelihood
-1902.6683853461236,-1717.836538,-1691.276998,-1979.991125,0.0,Log-Likelihood
-1026.180869074461,-851.111342,-1171.55081,-1511.035359,0.0,Log-Likelihood
-1459.0594820316649,-1294.21001,-1368.197299,-1583.04194,0.0,Log-Likelihood
-1464.2561276861534,-1324.586961,-1311.307191,-1672.347104,0.0,Log-Likelihood
-1339.7857499184272,-1251.073263,-1275.735693,-1631.084275,0.0,Log-Likelihood
-1547.215721749811,-1337.125191,-1312.462761,-1470.511905,0.0,Log-Likelihood
-1304.6520768056278,-1222.018204,-1638.514802,-1994.341346,0.0,Log-Likelihood
-1558.9496656833144,-1363.665148,-1392.36353,-1754.849006,0.0,Log-Likelihood
-1483.614335636167,-1301.779176,-1305.691199,-1609.700009,0.0,Log-Likelihood
-1961.0528809245766,-1793.918971,-1790.242554,-2060.103384,0.0,Log-Likelihood
-1533.639060550798,-1350.125527,-1391.968419,-1836.481171,0.0,Log-Likelihood
-1032.7562627827679,-838.004647,-851.436404,-1178.328336,0.0,Log-Likelihood
-1978.5557647633523,-1777.876435,-1891.914867,-2258.646109,0.0,Log-Likelihood
-1795.0287836703396,-1641.408742,-1616.746312,-1782.383896,0.0,Log-Likelihood
-1560.7546003786467,-1422.473715,-1435.753485,-1842.324037,0.0,Log-Likelihood
-1343.6350877551392,-1158.036548,-1142.859668,-1441.294951,0.0,Log-Likelihood
-1480.8811464187304,-1261.70323,-1307.233869,-1539.270303,0.0,Log-Likelihood
-2314.8709562210333,-2116.173846,-2237.588886,-2742.809157,0.0,Log-Likelihood
-1459.8962404087338,-1278.0352,-1380.649019,-1710.883624,0.0,Log-Likelihood
-1332.411967144069,-1213.455681,-1209.779264,-1477.13017,0.0,Log-Likelihood
-1408.876028346974,-1245.988973,-1579.44842,-1752.126136,0.0,Log-Likelihood
-1334.833500439432,-1136.367362,-1145.852912,-1442.391085,0.0,Log-Likelihood
-924.2756518601858,-746.551115,-763.706199,-957.800433,0.0,Log-Likelihood
-1219.817843398488,-1009.960671,-1152.419146,-1305.793396,0.0,Log-Likelihood
-1332.5141581693385,-1137.194613,-1296.667262,-1513.010762,0.0,Log-Likelihood
-1355.8997822866,-1319.04849,-1467.389324,-1828.429236,0.0,Log-Likelihood
-1721.9967937122142,-1666.118,-1706.057724,-2046.229427,0.0,Log-Likelihood
