task_id	name	process	status	exit	duration	realtime	rss	peak_rss
14	run_sasc (4)	run_sasc	CACHED	0	47m 57s	47m 57s	4.5 MB	4.5 MB
44	run_sasc (13)	run_sasc	CACHED	0	24m 27s	24m 27s	4.6 MB	4.6 MB
49	run_ppsasc (15)	run_ppsasc	CACHED	0	41m 26s	41m 26s	4.5 MB	4.5 MB
3	run_ppsasc (1)	run_ppsasc	CACHED	0	58m 24s	58m 24s	4.7 MB	4.7 MB
11	run_sasc (3)	run_sasc	CACHED	0	45m 18s	45m 17s	4.8 MB	4.8 MB
102	run_resasc (27)	run_resasc	CACHED	0	15m 24s	15m 24s	4.7 MB	4.7 MB
195	run_ppsasc (49)	run_ppsasc	CACHED	0	34m 2s	34m 2s	4.6 MB	4.6 MB
72	cvt_scite_input (17)	cvt_scite_input	CACHED	0	1.2s	379ms	23.8 MB	23.8 MB
134	cvt_scite_input (32)	cvt_scite_input	CACHED	0	1.2s	375ms	17.3 MB	17.3 MB
91	run_sasc (25)	run_sasc	CACHED	0	47m 8s	47m 8s	4.6 MB	4.6 MB
184	run_resasc (45)	run_resasc	CACHED	0	13m 46s	13m 46s	4.8 MB	4.8 MB
193	run_ppsasc (47)	run_ppsasc	CACHED	0	34m 56s	34m 56s	4.6 MB	4.6 MB
52	run_sasc (15)	run_sasc	CACHED	0	42m 10s	42m 10s	4.7 MB	4.7 MB
188	run_resasc (49)	run_resasc	CACHED	0	14m 39s	14m 39s	4.6 MB	4.6 MB
141	run_sasc (36)	run_sasc	CACHED	0	48m 41s	48m 40s	4.8 MB	4.8 MB
29	run_ppsasc (9)	run_ppsasc	CACHED	0	42m 13s	42m 13s	4.7 MB	4.7 MB
153	run_sasc (40)	run_sasc	CACHED	0	1h 37m 30s	1h 37m 30s	4.6 MB	4.6 MB
123	run_resasc (31)	run_resasc	CACHED	0	15m 10s	15m 10s	4.8 MB	4.8 MB
161	cvt_scite_input (39)	cvt_scite_input	CACHED	0	1.2s	420ms	16.7 MB	16.7 MB
70	run_resasc (16)	run_resasc	CACHED	0	14m 4s	14m 4s	4.8 MB	4.8 MB
163	cvt_scite_input (40)	cvt_scite_input	CACHED	0	1.2s	390ms	24.3 MB	24.4 MB
55	run_sasc (16)	run_sasc	CACHED	0	23m 57s	23m 57s	4.6 MB	4.6 MB
34	run_sasc (10)	run_sasc	CACHED	0	1h 2m 42s	1h 2m 42s	4.7 MB	4.7 MB
90	run_ppsasc (21)	run_ppsasc	CACHED	0	58m 22s	58m 22s	4.5 MB	4.5 MB
126	run_ppsasc (33)	run_ppsasc	CACHED	0	32m 22s	32m 21s	4.6 MB	4.6 MB
60	run_resasc (12)	run_resasc	CACHED	0	14m 45s	14m 45s	4.7 MB	4.7 MB
151	run_ppsasc (39)	run_ppsasc	CACHED	0	19m 52s	19m 52s	4.8 MB	4.8 MB
196	cvt_scite_input (47)	cvt_scite_input	CACHED	0	1.5s	314ms	23.9 MB	24.1 MB
87	run_sasc (24)	run_sasc	CACHED	0	35m 4s	35m 4s	4.6 MB	4.6 MB
47	run_sasc (14)	run_sasc	CACHED	0	41m 42s	41m 42s	4.6 MB	4.6 MB
179	run_resasc (44)	run_resasc	CACHED	0	14m 36s	14m 35s	4.6 MB	4.6 MB
85	run_resasc (20)	run_resasc	CACHED	0	14m 39s	14m 39s	4.7 MB	4.7 MB
138	run_resasc (36)	run_resasc	CACHED	0	14m 32s	14m 32s	4.7 MB	4.7 MB
24	cvt_scite_input (6)	cvt_scite_input	CACHED	0	1.1s	307ms	23.4 MB	23.4 MB
111	run_resasc (29)	run_resasc	CACHED	0	14m 39s	14m 39s	4.6 MB	4.6 MB
140	cvt_scite_input (34)	cvt_scite_input	CACHED	0	1.2s	356ms	18.4 MB	18.4 MB
73	cvt_scite_input (18)	cvt_scite_input	CACHED	0	1.1s	429ms	17.4 MB	17.4 MB
62	cvt_scite_input (15)	cvt_scite_input	CACHED	0	1.4s	455ms	13.9 MB	13.9 MB
170	run_sasc (46)	run_sasc	CACHED	0	44m 31s	44m 30s	4.6 MB	4.6 MB
185	run_resasc (46)	run_resasc	CACHED	0	15m	15m	4.5 MB	4.5 MB
80	run_resasc (18)	run_resasc	CACHED	0	14m 22s	14m 22s	4.6 MB	4.6 MB
116	run_sasc (33)	run_sasc	CACHED	0	51m 6s	51m 6s	4.7 MB	4.7 MB
183	cvt_scite_input (45)	cvt_scite_input	CACHED	0	1.4s	247ms	2.1 MB	2.1 MB
176	run_sasc (49)	run_sasc	CACHED	0	34m 7s	34m 7s	4.8 MB	4.8 MB
6	run_sasc (2)	run_sasc	CACHED	0	1h 4m 31s	1h 4m 31s	4.7 MB	4.7 MB
182	run_ppsasc (44)	run_ppsasc	CACHED	0	34m 40s	34m 39s	4.6 MB	4.6 MB
10	run_ppsasc (3)	run_ppsasc	CACHED	0	20m 23s	20m 23s	4.5 MB	4.5 MB
128	run_sasc (34)	run_sasc	CACHED	0	36m 20s	36m 19s	4.6 MB	4.6 MB
82	run_resasc (19)	run_resasc	CACHED	0	14m 41s	14m 41s	4.6 MB	4.6 MB
81	run_ppsasc (20)	run_ppsasc	CACHED	0	29m 47s	29m 47s	4.6 MB	4.6 MB
145	run_ppsasc (37)	run_ppsasc	CACHED	0	29m 55s	29m 55s	4.5 MB	4.5 MB
147	cvt_scite_input (35)	cvt_scite_input	CACHED	0	1.1s	343ms	19.5 MB	19.5 MB
43	run_ppsasc (13)	run_ppsasc	CACHED	0	25m 13s	25m 13s	4.6 MB	4.6 MB
66	run_sasc (18)	run_sasc	CACHED	0	1h 17m 32s	1h 17m 32s	4.6 MB	4.6 MB
96	run_ppsasc (24)	run_ppsasc	CACHED	0	20m 57s	20m 56s	4.6 MB	4.6 MB
104	run_ppsasc (26)	run_ppsasc	CACHED	0	25m 7s	25m 7s	4.7 MB	4.7 MB
154	run_sasc (41)	run_sasc	CACHED	0	50m 25s	50m 24s	4.6 MB	4.6 MB
137	cvt_scite_input (33)	cvt_scite_input	CACHED	0	1.4s	236ms	24.2 MB	24.2 MB
152	run_resasc (38)	run_resasc	CACHED	0	14m 39s	14m 39s	4.6 MB	4.6 MB
114	run_sasc (31)	run_sasc	CACHED	0	1h 2m 32s	1h 2m 31s	4.6 MB	4.6 MB
16	run_resasc (3)	run_resasc	CACHED	0	14m 35s	14m 35s	4.7 MB	4.7 MB
174	run_ppsasc (41)	run_ppsasc	CACHED	0	34m 27s	34m 27s	4.6 MB	4.6 MB
125	cvt_scite_input (29)	cvt_scite_input	CACHED	0	1.3s	413ms	17.8 MB	17.8 MB
69	run_resasc (15)	run_resasc	CACHED	0	14m 58s	14m 58s	4.6 MB	4.6 MB
38	run_sasc (11)	run_sasc	CACHED	0	25m 18s	25m 18s	4.7 MB	4.7 MB
71	run_sasc (21)	run_sasc	CACHED	0	24m 46s	24m 46s	4.7 MB	4.7 MB
169	run_sasc (45)	run_sasc	CACHED	0	1h 23m 45s	1h 23m 45s	4.5 MB	4.5 MB
86	run_resasc (21)	run_resasc	CACHED	0	14m 46s	14m 45s	4.6 MB	4.6 MB
191	cvt_scite_input (46)	cvt_scite_input	CACHED	0	1.6s	345ms	21.2 MB	21.2 MB
83	run_sasc (23)	run_sasc	CACHED	0	1h 21m 10s	1h 21m 10s	4.6 MB	4.6 MB
9	cvt_scite_input (3)	cvt_scite_input	CACHED	0	1.1s	338ms	17.7 MB	17.7 MB
172	run_sasc (48)	run_sasc	CACHED	0	39m 54s	39m 54s	4.7 MB	4.7 MB
180	cvt_scite_input (44)	cvt_scite_input	CACHED	0	1.3s	367ms	22.5 MB	22.5 MB
18	cvt_scite_input (5)	cvt_scite_input	CACHED	0	1.3s	349ms	19.9 MB	19.9 MB
139	run_ppsasc (35)	run_ppsasc	CACHED	0	21m 26s	21m 26s	4.6 MB	4.6 MB
198	run_ppsasc (50)	run_ppsasc	CACHED	0	1h 12m 4s	1h 12m 4s	4.6 MB	4.6 MB
79	run_ppsasc (19)	run_ppsasc	CACHED	0	20m 1s	20m 1s	4.6 MB	4.6 MB
175	run_ppsasc (42)	run_ppsasc	CACHED	0	31m 18s	31m 18s	4.7 MB	4.7 MB
23	run_sasc (7)	run_sasc	CACHED	0	59m 42s	59m 42s	4.8 MB	4.8 MB
190	run_ppsasc (45)	run_ppsasc	CACHED	0	29m 22s	29m 21s	4.6 MB	4.6 MB
28	run_resasc (5)	run_resasc	CACHED	0	14m 7s	14m 7s	4.7 MB	4.7 MB
30	run_sasc (9)	run_sasc	CACHED	0	36m 56s	36m 56s	4.7 MB	4.7 MB
130	run_resasc (33)	run_resasc	CACHED	0	15m 20s	15m 20s	4.7 MB	4.7 MB
26	run_sasc (8)	run_sasc	CACHED	0	37m 24s	37m 24s	4.6 MB	4.6 MB
109	run_ppsasc (30)	run_ppsasc	CACHED	0	38m 4s	38m 4s	4.6 MB	4.6 MB
199	cvt_scite_input (49)	cvt_scite_input	CACHED	0	1.3s	380ms	20.2 MB	20.2 MB
187	run_resasc (48)	run_resasc	CACHED	0	14m 50s	14m 49s	4.7 MB	4.7 MB
54	cvt_scite_input (13)	cvt_scite_input	CACHED	0	1.3s	368ms	17.4 MB	17.4 MB
142	run_sasc (37)	run_sasc	CACHED	0	37m 32s	37m 32s	4.6 MB	4.6 MB
162	run_sasc (43)	run_sasc	CACHED	0	23m 33s	23m 33s	4.6 MB	4.6 MB
133	cvt_scite_input (31)	cvt_scite_input	CACHED	0	1.4s	452ms	17.6 MB	17.6 MB
122	run_ppsasc (32)	run_ppsasc	CACHED	0	31m 20s	31m 19s	4.7 MB	4.7 MB
103	run_ppsasc (25)	run_ppsasc	CACHED	0	38m 10s	38m 10s	4.6 MB	4.6 MB
168	run_sasc (44)	run_sasc	CACHED	0	41m 27s	41m 27s	4.6 MB	4.6 MB
