task_id	name	process	status	exit	duration	realtime	rss	peak_rss
106	run_resasc (29)	run_resasc	CACHED	0	53m 18s	53m 18s	4.7 MB	4.7 MB
172	run_sasc (48)	run_sasc	CACHED	0	1h 43m 4s	1h 43m 4s	4.7 MB	4.7 MB
157	run_resasc (46)	run_resasc	CACHED	0	50m 51s	50m 50s	4.6 MB	4.6 MB
55	run_resasc (12)	run_resasc	CACHED	0	18m 37s	18m 37s	4.7 MB	4.7 MB
164	cvt_scite_input (38)	cvt_scite_input	CACHED	0	1.5s	382ms	2.1 MB	2.1 MB
91	run_resasc (21)	run_resasc	CACHED	0	23m 55s	23m 54s	4.7 MB	4.7 MB
132	run_resasc (36)	run_resasc	CACHED	0	23m 19s	23m 19s	4.7 MB	4.7 MB
99	run_resasc (26)	run_resasc	CACHED	0	18m	18m	4.7 MB	4.7 MB
123	run_resasc (33)	run_resasc	CACHED	0	19m 32s	19m 31s	4.7 MB	4.7 MB
47	cvt_scite_input (13)	cvt_scite_input	CACHED	0	1.5s	448ms	2.2 MB	2.2 MB
6	cvt_scite_input (2)	cvt_scite_input	CACHED	0	1.5s	356ms	24.2 MB	24.2 MB
52	run_sasc (17)	run_sasc	CACHED	0	42m 36s	42m 35s	4.7 MB	4.7 MB
126	run_resasc (34)	run_resasc	CACHED	0	2h 56m 28s	2h 56m 28s	4.6 MB	4.6 MB
63	run_resasc (15)	run_resasc	CACHED	0	1h 13m 43s	1h 13m 42s	4.6 MB	4.6 MB
113	run_ppsasc (28)	run_ppsasc	CACHED	0	27m 4s	27m 3s	4.7 MB	4.7 MB
145	run_sasc (41)	run_sasc	CACHED	0	1h 7m 59s	1h 7m 58s	4.5 MB	4.5 MB
14	cvt_scite_input (5)	cvt_scite_input	CACHED	0	1.5s	232ms	2.1 MB	2.1 MB
194	cvt_scite_input (46)	cvt_scite_input	CACHED	0	1.9s	371ms	2.1 MB	2.1 MB
184	cvt_scite_input (43)	cvt_scite_input	CACHED	0	1.9s	383ms	2.1 MB	2.1 MB
98	run_resasc (25)	run_resasc	CACHED	0	21m 1s	21m	4.6 MB	4.6 MB
50	run_ppsasc (11)	run_ppsasc	CACHED	0	28m 26s	28m 26s	4.7 MB	4.7 MB
137	run_resasc (37)	run_resasc	CACHED	0	21m 29s	21m 28s	4.7 MB	4.7 MB
77	run_ppsasc (15)	run_ppsasc	CACHED	0	33m 16s	33m 16s	4.6 MB	4.6 MB
76	run_sasc (24)	run_sasc	CACHED	0	28m 57s	28m 56s	4.7 MB	4.7 MB
82	run_resasc (19)	run_resasc	CACHED	0	31m 26s	31m 26s	4.6 MB	4.6 MB
83	cvt_scite_input (22)	cvt_scite_input	CACHED	0	1.5s	522ms	10 MB	10 MB
143	cvt_scite_input (35)	cvt_scite_input	CACHED	0	1.8s	238ms	2.2 MB	2.2 MB
162	run_sasc (43)	run_sasc	CACHED	0	24m 38s	24m 38s	4.6 MB	4.6 MB
45	run_ppsasc (10)	run_ppsasc	CACHED	0	59m 25s	59m 25s	4.6 MB	4.6 MB
88	run_ppsasc (20)	run_ppsasc	CACHED	0	1h 7m 56s	1h 7m 56s	4.8 MB	4.8 MB
23	run_sasc (9)	run_sasc	CACHED	0	57m 51s	57m 50s	4.8 MB	4.8 MB
48	run_sasc (16)	run_sasc	CACHED	0	32m 35s	32m 35s	4.6 MB	4.6 MB
87	run_ppsasc (19)	run_ppsasc	CACHED	0	30m 35s	30m 34s	4.6 MB	4.6 MB
5	run_resasc (2)	run_resasc	CACHED	0	20m 2s	20m 1s	4.6 MB	4.6 MB
161	run_ppsasc (33)	run_ppsasc	CACHED	0	31m 16s	31m 16s	4.6 MB	4.6 MB
182	run_ppsasc (41)	run_ppsasc	CACHED	0	31m 13s	31m 13s	4.6 MB	4.6 MB
165	run_sasc (45)	run_sasc	CACHED	0	48m 1s	48m 1s	4.5 MB	4.5 MB
94	run_ppsasc (23)	run_ppsasc	CACHED	0	32m 58s	32m 58s	4.7 MB	4.7 MB
10	run_sasc (4)	run_sasc	CACHED	0	41m 47s	41m 46s	4.7 MB	4.7 MB
1	run_resasc (1)	run_resasc	CACHED	0	23m 2s	23m 2s	4.6 MB	4.6 MB
116	run_sasc (31)	run_sasc	CACHED	0	29m 16s	29m 15s	4.7 MB	4.7 MB
68	run_sasc (19)	run_sasc	CACHED	0	30m 53s	30m 52s	4.6 MB	4.6 MB
148	run_resasc (41)	run_resasc	CACHED	0	1h 5m 15s	1h 5m 15s	4.7 MB	4.7 MB
112	run_sasc (29)	run_sasc	CACHED	0	33m 1s	33m	4.7 MB	4.7 MB
158	run_resasc (47)	run_resasc	CACHED	0	26m 39s	26m 39s	4.7 MB	4.7 MB
155	run_sasc (42)	run_sasc	CACHED	0	1h 6m 52s	1h 6m 52s	4.6 MB	4.6 MB
166	run_ppsasc (34)	run_ppsasc	CACHED	0	25m 10s	25m 10s	4.6 MB	4.6 MB
84	run_resasc (20)	run_resasc	CACHED	0	20m 38s	20m 38s	4.6 MB	4.6 MB
190	run_ppsasc (46)	run_ppsasc	CACHED	0	42m 59s	42m 59s	4.6 MB	4.6 MB
199	cvt_scite_input (49)	cvt_scite_input	CACHED	0	1.8s	367ms	2.2 MB	2.2 MB
183	cvt_scite_input (42)	cvt_scite_input	CACHED	0	1.4s	368ms	22.3 MB	22.3 MB
200	cvt_scite_input (50)	cvt_scite_input	CACHED	0	1.3s	213ms	2.1 MB	2.1 MB
125	cvt_scite_input (28)	cvt_scite_input	CACHED	0	1.8s	252ms	23.8 MB	24.2 MB
90	run_ppsasc (22)	run_ppsasc	CACHED	0	34m 48s	34m 47s	4.7 MB	4.7 MB
180	run_ppsasc (40)	run_ppsasc	CACHED	0	31m 35s	31m 34s	4.7 MB	4.7 MB
175	run_sasc (50)	run_sasc	CACHED	0	23m 46s	23m 46s	4.8 MB	4.8 MB
146	run_ppsasc (31)	run_ppsasc	CACHED	0	29m 50s	29m 50s	4.6 MB	4.6 MB
20	run_ppsasc (3)	run_ppsasc	CACHED	0	1h 19m 16s	1h 19m 15s	4.6 MB	4.6 MB
97	run_ppsasc (24)	run_ppsasc	CACHED	0	27m 51s	27m 51s	4.8 MB	4.8 MB
152	run_resasc (43)	run_resasc	CACHED	0	25m 41s	25m 40s	4.7 MB	4.7 MB
58	run_resasc (13)	run_resasc	CACHED	0	18m 43s	18m 43s	4.6 MB	4.6 MB
140	run_sasc (40)	run_sasc	CACHED	0	42m 28s	42m 27s	4.7 MB	4.7 MB
185	run_ppsasc (42)	run_ppsasc	CACHED	0	29m 31s	29m 31s	4.7 MB	4.7 MB
36	run_sasc (13)	run_sasc	CACHED	0	31m 47s	31m 46s	4.7 MB	4.7 MB
34	run_ppsasc (7)	run_ppsasc	CACHED	0	20m 18s	20m 18s	4.6 MB	4.6 MB
153	run_resasc (44)	run_resasc	CACHED	0	24m 33s	24m 33s	4.6 MB	4.6 MB
187	run_ppsasc (43)	run_ppsasc	CACHED	0	46m 23s	46m 23s	4.7 MB	4.7 MB
118	run_sasc (33)	run_sasc	CACHED	0	38m 18s	38m 17s	4.5 MB	4.5 MB
105	run_sasc (27)	run_sasc	CACHED	0	40m 45s	40m 45s	4.6 MB	4.6 MB
139	cvt_scite_input (33)	cvt_scite_input	CACHED	0	1.5s	495ms	24.2 MB	24.2 MB
171	cvt_scite_input (40)	cvt_scite_input	CACHED	0	1.7s	319ms	17.2 MB	17.2 MB
41	run_resasc (8)	run_resasc	CACHED	0	18m 6s	18m 5s	4.7 MB	4.7 MB
115	run_sasc (30)	run_sasc	CACHED	0	41m 49s	41m 49s	4.6 MB	4.6 MB
168	run_ppsasc (35)	run_ppsasc	CACHED	0	1h 9m 4s	1h 9m 4s	4.6 MB	4.6 MB
198	cvt_scite_input (48)	cvt_scite_input	CACHED	0	1.6s	299ms	22.7 MB	22.7 MB
27	run_sasc (11)	run_sasc	CACHED	0	1h 33m 18s	1h 33m 18s	4.6 MB	4.6 MB
117	run_sasc (32)	run_sasc	CACHED	0	31m 21s	31m 20s	4.6 MB	4.6 MB
13	run_ppsasc (2)	run_ppsasc	CACHED	0	32m 20s	32m 20s	4.7 MB	4.7 MB
96	run_resasc (24)	run_resasc	CACHED	0	23m 57s	23m 57s	4.7 MB	4.7 MB
38	cvt_scite_input (11)	cvt_scite_input	CACHED	0	1.6s	323ms	2.1 MB	2.1 MB
144	run_resasc (39)	run_resasc	CACHED	0	27m 29s	27m 28s	4.6 MB	4.6 MB
33	cvt_scite_input (9)	cvt_scite_input	CACHED	0	1.6s	630ms	16.7 MB	16.7 MB
122	cvt_scite_input (27)	cvt_scite_input	CACHED	0	1.5s	619ms	16.1 MB	16.1 MB
131	run_ppsasc (30)	run_ppsasc	CACHED	0	35m 34s	35m 33s	4.6 MB	4.6 MB
7	run_sasc (2)	run_sasc	CACHED	0	38m 49s	38m 49s	4.7 MB	4.7 MB
25	run_sasc (10)	run_sasc	CACHED	0	1h 1m 16s	1h 1m 15s	4.6 MB	4.6 MB
120	cvt_scite_input (26)	cvt_scite_input	CACHED	0	1.5s	610ms	17.5 MB	17.5 MB
193	run_ppsasc (48)	run_ppsasc	CACHED	0	27m 27s	27m 27s	4.7 MB	4.7 MB
110	run_ppsasc (27)	run_ppsasc	CACHED	0	29m 54s	29m 54s	4.5 MB	4.5 MB
73	run_sasc (21)	run_sasc	CACHED	0	32m 25s	32m 24s	4.7 MB	4.7 MB
67	cvt_scite_input (19)	cvt_scite_input	CACHED	0	1.4s	271ms	24.1 MB	24.2 MB
178	run_ppsasc (38)	run_ppsasc	CACHED	0	1h 24m 42s	1h 24m 42s	4.7 MB	4.7 MB
18	run_sasc (7)	run_sasc	CACHED	0	29m 1s	29m 1s	4.7 MB	4.7 MB
60	run_resasc (14)	run_resasc	CACHED	0	17m 46s	17m 46s	4.6 MB	4.6 MB
62	run_ppsasc (14)	run_ppsasc	CACHED	0	26m 45s	26m 45s	4.5 MB	4.5 MB
150	cvt_scite_input (37)	cvt_scite_input	CACHED	0	1.8s	332ms	2.3 MB	2.3 MB
174	run_resasc (50)	run_resasc	CACHED	0	20m 43s	20m 42s	4.6 MB	4.6 MB
57	run_ppsasc (13)	run_ppsasc	CACHED	0	28m 49s	28m 49s	4.6 MB	4.6 MB
170	run_sasc (47)	run_sasc	CACHED	0	30m 45s	30m 45s	4.6 MB	4.6 MB
9	cvt_scite_input (3)	cvt_scite_input	CACHED	0	1.3s	203ms	2.1 MB	2.1 MB
8	run_sasc (3)	run_sasc	CACHED	0	23m 44s	23m 44s	4.7 MB	4.7 MB
2	cvt_scite_input (1)	cvt_scite_input	CACHED	0	1.6s	541ms	16.5 MB	16.5 MB
102	run_ppsasc (26)	run_ppsasc	CACHED	0	38m 7s	38m 7s	4.6 MB	4.6 MB
39	run_sasc (14)	run_sasc	CACHED	0	55m 30s	55m 30s	4.6 MB	4.6 MB
134	cvt_scite_input (31)	cvt_scite_input	CACHED	0	1.6s	379ms	23.4 MB	23.4 MB
109	cvt_scite_input (25)	cvt_scite_input	CACHED	0	1.8s	275ms	2.1 MB	2.1 MB
43	cvt_scite_input (12)	cvt_scite_input	CACHED	0	1.8s	411ms	2.2 MB	2.2 MB
114	run_resasc (32)	run_resasc	CACHED	0	20m 27s	20m 26s	4.5 MB	4.5 MB
74	run_sasc (22)	run_sasc	CACHED	0	37m 5s	37m 5s	4.6 MB	4.6 MB
103	run_resasc (28)	run_resasc	CACHED	0	21m 8s	21m 7s	4.6 MB	4.6 MB
49	run_resasc (10)	run_resasc	CACHED	0	19m 30s	19m 29s	4.6 MB	4.6 MB
79	run_sasc (25)	run_sasc	CACHED	0	33m 50s	33m 49s	4.8 MB	4.8 MB
169	run_sasc (46)	run_sasc	CACHED	0	42m 5s	42m 5s	4.6 MB	4.6 MB
108	run_resasc (30)	run_resasc	CACHED	0	48m 37s	48m 36s	4.6 MB	4.6 MB
136	cvt_scite_input (32)	cvt_scite_input	CACHED	0	1.7s	323ms	2.2 MB	2.2 MB
40	run_ppsasc (8)	run_ppsasc	CACHED	0	27m 23s	27m 23s	4.8 MB	4.8 MB
66	cvt_scite_input (18)	cvt_scite_input	CACHED	0	1.9s	375ms	2.1 MB	2.1 MB
167	cvt_scite_input (39)	cvt_scite_input	CACHED	0	1.8s	290ms	24.1 MB	24.1 MB
81	run_resasc (18)	run_resasc	CACHED	0	38m 35s	38m 35s	4.7 MB	4.7 MB
176	run_ppsasc (36)	run_ppsasc	CACHED	0	59m 40s	59m 40s	4.5 MB	4.5 MB
141	cvt_scite_input (34)	cvt_scite_input	CACHED	0	1.8s	403ms	2.2 MB	2.2 MB
