reSASC,Dollo-k,PP,Measure
0.830860534124629,0.8029739776951671,0.8045977011494253,Ancestor-Descendant
0.8750000000000001,0.8673647469458988,0.8670212765957446,Ancestor-Descendant
0.8224043715846994,0.8224043715846994,0.829971181556196,Ancestor-Descendant
0.8208469055374592,0.802547770700637,0.8076923076923076,Ancestor-Descendant
0.8437200383509108,0.8551992225461614,0.8164493480441325,Ancestor-Descendant
0.7959009393680615,0.803448275862069,0.8100607111882046,Ancestor-Descendant
0.8615090735434575,0.8525519848771267,0.838206627680312,Ancestor-Descendant
0.8344594594594594,0.8401360544217688,0.8473413379073756,Ancestor-Descendant
0.7164556962025316,0.7468982630272952,0.7468982630272952,Ancestor-Descendant
0.7983193277310924,0.7983122362869199,0.79424216765453,Ancestor-Descendant
0.9093298291721419,0.9093298291721419,0.9093298291721419,Ancestor-Descendant
0.7461629279811098,0.7638072855464161,0.7535545023696683,Ancestor-Descendant
0.7755102040816326,0.8095756256800871,0.8095756256800871,Ancestor-Descendant
0.8626760563380282,0.8566433566433567,0.8691756272401433,Ancestor-Descendant
0.8311156601842374,0.726027397260274,0.7875125881168178,Ancestor-Descendant
0.8183098591549296,0.833810888252149,0.833810888252149,Ancestor-Descendant
0.839366515837104,0.8284424379232505,0.8337129840546698,Ancestor-Descendant
0.8161943319838055,0.8082083662194159,0.8168789808917198,Ancestor-Descendant
0.8620420888542479,0.8542944785276073,0.8485780169100691,Ancestor-Descendant
0.7996357012750456,0.7790594498669032,0.8251879699248119,Ancestor-Descendant
0.8510882016036656,0.851276359600444,0.8471264367816091,Ancestor-Descendant
0.9065894279507603,0.8917378917378918,0.9112081513828238,Ancestor-Descendant
0.7804347826086956,0.760593220338983,0.760593220338983,Ancestor-Descendant
0.8586626139817629,0.8251968503937007,0.8251968503937007,Ancestor-Descendant
0.7973102785782901,0.8488372093023256,0.8385214007782102,Ancestor-Descendant
0.7968197879858657,0.8237378210806022,0.8184233835252436,Ancestor-Descendant
0.7511045655375552,0.7445255474452555,0.7511045655375552,Ancestor-Descendant
0.8597014925373135,0.8597014925373135,0.8517034068136272,Ancestor-Descendant
0.8262626262626261,0.8296146044624747,0.8296146044624747,Ancestor-Descendant
0.8730512249443207,0.8659498207885304,0.8779069767441859,Ancestor-Descendant
0.9077878643096035,0.9096989966555183,0.8882410106899903,Ancestor-Descendant
0.7751937984496126,0.7872611464968153,0.7872611464968153,Ancestor-Descendant
0.846153846153846,0.794766966475879,0.794766966475879,Ancestor-Descendant
0.7657430730478589,0.7503075030750307,0.7994791666666666,Ancestor-Descendant
0.8573705179282869,0.849336455893833,0.8719611021069691,Ancestor-Descendant
0.8333333333333334,0.8786677240285488,0.834697217675941,Ancestor-Descendant
0.8295904887714664,0.8,0.7907573812580231,Ancestor-Descendant
0.8050420168067226,0.8167053364269141,0.846832397754611,Ancestor-Descendant
0.8255319148936171,0.7953020134228187,0.8172413793103448,Ancestor-Descendant
0.877502001601281,0.8351145038167939,0.877502001601281,Ancestor-Descendant
0.8743034055727554,0.87409200968523,0.8774271844660194,Ancestor-Descendant
0.8082595870206489,0.7911453320500481,0.8130563798219586,Ancestor-Descendant
0.841025641025641,0.8393162393162394,0.8393162393162394,Ancestor-Descendant
0.8675213675213675,0.8493723849372385,0.8675213675213675,Ancestor-Descendant
0.8232611174458381,0.7887005649717514,0.8041958041958042,Ancestor-Descendant
0.8236040609137056,0.8308051341890316,0.8220338983050847,Ancestor-Descendant
0.8820326678765881,0.8697247706422018,0.8697247706422018,Ancestor-Descendant
0.8757602085143354,0.8630136986301371,0.8667239896818573,Ancestor-Descendant
0.8571428571428571,0.842948717948718,0.8336106489184693,Ancestor-Descendant
0.79585326953748,0.8161943319838056,0.743288590604027,Ancestor-Descendant
