reSASC,Dollo-k,PP,Measure
0.5965711339320242,0.5965711339320242,0.5965711339320242,MP3
0.5166818181818181,0.5166818181818181,0.5166818181818181,MP3
0.5430909090909091,0.5430909090909091,0.5430909090909091,MP3
0.5172087827095776,0.5179392428994972,0.5172087827095776,MP3
0.6048181818181818,0.6048181818181818,0.6048181818181818,MP3
0.4896231684784944,0.4896231684784944,0.4896231684784944,MP3
0.4572680788897005,0.4572680788897005,0.4572680788897005,MP3
0.5773636363636364,0.5773636363636364,0.5773636363636364,MP3
0.5789853677319985,0.5789853677319985,0.5789853677319985,MP3
0.5952272727272727,0.5952272727272727,0.5952272727272727,MP3
0.5630535232961109,0.5630535232961109,0.5630535232961109,MP3
0.5135,0.5135,0.5135,MP3
0.38503845658058694,0.38503845658058694,0.38417909165126973,MP3
0.4616363636363636,0.46095454545454545,0.4616363636363636,MP3
0.46332306507508664,0.46332306507508664,0.46332306507508664,MP3
0.6998979591836735,0.6998979591836735,0.6998979591836735,MP3
0.5466849997851587,0.5466849997851587,0.5466849997851587,MP3
0.32688241990567574,0.32688241990567574,0.32688241990567574,MP3
0.6081363636363636,0.6081363636363636,0.6081363636363636,MP3
0.42212005328062563,0.4225927039917501,0.42212005328062563,MP3
0.624,0.624,0.624,MP3
0.5951818181818181,0.5951818181818181,0.5951818181818181,MP3
0.5750454545454545,0.5750454545454545,0.5750454545454545,MP3
0.686734693877551,0.686734693877551,0.686734693877551,MP3
0.6599922988063149,0.6599922988063149,0.6599922988063149,MP3
0.4738636363636364,0.4738636363636364,0.4738636363636364,MP3
0.5788409703504043,0.5788409703504043,0.5788409703504043,MP3
0.5277272727272727,0.5277272727272727,0.5277272727272727,MP3
0.3589567309758089,0.3589567309758089,0.3589567309758089,MP3
0.5344628417404698,0.5344628417404698,0.5344628417404698,MP3
0.47607816711590295,0.47607816711590295,0.47607816711590295,MP3
0.5756363636363636,0.5756363636363636,0.5756363636363636,MP3
0.3528122717311907,0.3528122717311907,0.3528122717311907,MP3
0.5280454545454546,0.5280454545454546,0.5258636363636363,MP3
0.5152727272727273,0.5152727272727273,0.5152727272727273,MP3
0.6945918367346938,0.6945918367346938,0.6945918367346938,MP3
0.6980612244897959,0.6980612244897959,0.6980612244897959,MP3
0.6016818181818182,0.6016818181818182,0.6016818181818182,MP3
0.708469387755102,0.708469387755102,0.708469387755102,MP3
0.48545454545454547,0.48545454545454547,0.48545454545454547,MP3
0.507556796303427,0.507556796303427,0.507556796303427,MP3
0.5814545454545454,0.5814545454545454,0.5814545454545454,MP3
0.5129957643434733,0.5129957643434733,0.5129957643434733,MP3
0.558,0.558,0.558,MP3
0.41309090909090906,0.41309090909090906,0.41309090909090906,MP3
0.4866153912258841,0.4866153912258841,0.4866153912258841,MP3
0.5726363636363636,0.5726363636363636,0.5726363636363636,MP3
0.6626877165960724,0.6626877165960724,0.6626877165960724,MP3
0.44477272727272726,0.4660909090909091,0.4660909090909091,MP3
0.5034655371582595,0.5034655371582595,0.5034655371582595,MP3
