Ground,reSASC,Dollo-k,PP,infSCITE,Measure
-1428.1336075574366,-1270.312662,-1672.561126,-2084.144678,0.0,Log-Likelihood
-1509.6361567159213,-1309.81378,-1345.723432,-1465.636477,0.0,Log-Likelihood
-1850.1771748657445,-1677.383242,-1790.754866,-2164.229775,0.0,Log-Likelihood
-1349.706357072995,-1110.710606,-1245.868081,-1418.50509,0.0,Log-Likelihood
-1223.5147276894218,-1041.282465,-1071.235263,-1107.280353,0.0,Log-Likelihood
-1470.3525558841209,-1371.214655,-1420.936143,-1842.931608,0.0,Log-Likelihood
-1491.5083330131524,-1325.097596,-1378.111316,-1734.727059,0.0,Log-Likelihood
-1611.213199638873,-1447.195806,-1519.960954,-1702.301914,0.0,Log-Likelihood
-1077.5282036905305,-943.290865,-901.554445,-1010.280305,0.0,Log-Likelihood
-1592.3481887963753,-1464.110712,-1643.820774,-2093.229843,0.0,Log-Likelihood
-1952.849050698639,-1728.60365,-1755.278716,-1852.166774,0.0,Log-Likelihood
-1125.322243270646,-1064.854032,-1108.079089,-1242.504847,0.0,Log-Likelihood
-1282.3332975429826,-1129.555123,-1131.452233,-1312.888591,0.0,Log-Likelihood
-1508.145193719846,-1346.158569,-1411.113584,-1648.498999,0.0,Log-Likelihood
-1300.0557122188684,-1174.691071,-1436.846634,-1715.259319,0.0,Log-Likelihood
-1683.337123068758,-1632.392447,-1739.385699,-2112.58536,0.0,Log-Likelihood
-1141.185727426014,-948.145008,-1070.404473,-1217.757614,0.0,Log-Likelihood
-1596.7120654903001,-1379.116453,-1400.481878,-1446.117878,0.0,Log-Likelihood
-1551.3716272316794,-1454.974199,-1506.325379,-1707.901639,0.0,Log-Likelihood
-1356.372138126424,-1251.163994,-1357.738439,-1685.372075,0.0,Log-Likelihood
-1779.9751733156736,-1655.92953,-1720.436859,-1818.808237,0.0,Log-Likelihood
-1837.9005691481186,-1626.877625,-1632.568955,-1816.810491,0.0,Log-Likelihood
-1282.6684950861895,-1082.203727,-1092.864048,-1316.12522,0.0,Log-Likelihood
-1601.4454203247071,-1422.899672,-1428.485641,-1498.784071,0.0,Log-Likelihood
-1411.1866665141335,-1264.427823,-1238.71271,-1342.441315,0.0,Log-Likelihood
-1400.389969018779,-1215.681971,-1252.642667,-1312.726528,0.0,Log-Likelihood
-993.1274263942023,-808.171265,-813.55243,-1017.684496,0.0,Log-Likelihood
-1455.0624004380645,-1293.702691,-1295.599801,-1310.776681,0.0,Log-Likelihood
-1349.2368581147118,-1233.951051,-1196.895783,-1451.829953,0.0,Log-Likelihood
-1918.9767438322315,-1715.08115,-1815.46491,-2069.107823,0.0,Log-Likelihood
-2011.4252144268864,-1851.740961,-2008.986307,-2521.874155,0.0,Log-Likelihood
-1220.3069293848928,-1005.60061,-1023.923572,-1073.354904,0.0,Log-Likelihood
-1539.8485063047042,-1348.939261,-1661.980063,-2011.933748,0.0,Log-Likelihood
-1173.5329874048023,-946.106691,-1090.700864,-1312.264588,0.0,Log-Likelihood
-1527.3116355162695,-1397.046566,-1520.358055,-1767.892366,0.0,Log-Likelihood
-1481.533132669933,-1324.773444,-1310.104246,-1705.621799,0.0,Log-Likelihood
-1053.447934755289,-853.67798,-901.633264,-1178.501617,0.0,Log-Likelihood
-1638.6334673186343,-1529.185447,-1515.905677,-1582.409887,0.0,Log-Likelihood
-1531.5792797356055,-1375.955648,-1462.758137,-1731.889063,0.0,Log-Likelihood
-1561.9291307618498,-1365.910606,-1369.487416,-1459.379831,0.0,Log-Likelihood
-2125.0977998818985,-1962.867548,-1968.765502,-2018.33116,0.0,Log-Likelihood
-1462.480210839187,-1233.628186,-1463.035918,-1700.386342,0.0,Log-Likelihood
-1375.0613300413836,-1171.359871,-1186.547485,-1361.302353,0.0,Log-Likelihood
-1764.64635206366,-1728.852518,-1854.253944,-2075.890494,0.0,Log-Likelihood
-1230.2688619880594,-1068.790777,-1116.419253,-1450.246971,0.0,Log-Likelihood
-1995.5326234739541,-1844.045255,-1902.772165,-2150.320582,0.0,Log-Likelihood
-1369.3558170680315,-1179.425597,-1169.940047,-1339.783857,0.0,Log-Likelihood
-1499.71119208044,-1287.90536,-1349.250472,-1495.545345,0.0,Log-Likelihood
-1659.9315436660686,-1510.733756,-1507.278523,-1771.52023,0.0,Log-Likelihood
-1709.413797305863,-1629.880706,-1703.146954,-2109.693416,0.0,Log-Likelihood
