reSASC,Dollo-k,PP,infSCITE,Measure
0.8795669824086604,0.8666666666666666,0.8666666666666666,0.8575197889182057,Ancestor-Descendant
0.8544891640866873,0.8261538461538462,0.8261538461538462,0.8495713172252534,Ancestor-Descendant
0.8620988725065047,0.8228476821192053,0.8324958123953099,0.8423728813559322,Ancestor-Descendant
0.8469101123595505,0.8407202216066482,0.8491620111731844,0.8509447165850245,Ancestor-Descendant
0.8111025443330763,0.8008982035928143,0.8008982035928143,0.7864506627393226,Ancestor-Descendant
0.8636616583194212,0.8554476806903991,0.8836956521739131,0.8222996515679444,Ancestor-Descendant
0.8353413654618473,0.8404009252120278,0.8340016038492382,0.838813151563753,Ancestor-Descendant
0.8765167737330478,0.8342391304347826,0.8684582743988685,0.869064748201439,Ancestor-Descendant
0.9031055900621118,0.9031055900621118,0.8943089430894309,0.8955597248280175,Ancestor-Descendant
0.8798586572438163,0.8914956011730205,0.8707564026206075,0.8436541998773759,Ancestor-Descendant
0.8260105448154658,0.8061224489795918,0.8245614035087719,0.8326029798422437,Ancestor-Descendant
0.8056968463886063,0.8440366972477064,0.8369230769230769,0.829369183040331,Ancestor-Descendant
0.8635204081632654,0.853566958698373,0.863837872070931,0.8782051282051282,Ancestor-Descendant
0.8395303326810175,0.808349146110057,0.808349146110057,0.817658349328215,Ancestor-Descendant
0.8011811023622047,0.8042635658914729,0.8042635658914729,0.806201550387597,Ancestor-Descendant
0.8782051282051282,0.863171355498721,0.8644501278772379,0.8405228758169935,Ancestor-Descendant
0.8487140695915278,0.8377976190476191,0.8106463878326997,0.8269976726144298,Ancestor-Descendant
0.8651292802236199,0.8606390210740993,0.8606390210740993,0.8629088378566456,Ancestor-Descendant
0.8214971209213052,0.8380952380952381,0.84,0.8209523809523809,Ancestor-Descendant
0.8229475766567754,0.7911646586345382,0.7951564076690211,0.8091762252346195,Ancestor-Descendant
0.8602739726027397,0.8490230905861457,0.8490230905861457,0.8437775816416593,Ancestor-Descendant
0.7304116865869855,0.7034313725490197,0.7034313725490197,0.7250673854447439,Ancestor-Descendant
0.8251121076233183,0.8269230769230769,0.8269230769230769,0.7862595419847328,Ancestor-Descendant
0.7920621225194134,0.865996649916248,0.8101933216168717,0.7096774193548387,Ancestor-Descendant
0.8106834249803614,0.8365817091454273,0.8277945619335347,0.8398791540785498,Ancestor-Descendant
0.8288119738072965,0.8162111215834118,0.8003784295175023,0.8194444444444444,Ancestor-Descendant
0.8609154929577465,0.8529411764705881,0.8436103663985702,0.8649602824360105,Ancestor-Descendant
0.8218923933209648,0.8208409506398537,0.8033395176252318,0.8071161048689139,Ancestor-Descendant
0.860482103725347,0.8563259471050751,0.8604151753758054,0.8665207877461707,Ancestor-Descendant
0.846441947565543,0.8413417951042611,0.8413417951042611,0.8413417951042611,Ancestor-Descendant
0.8629787234042553,0.8369384359400998,0.8274706867671692,0.7858439201451906,Ancestor-Descendant
0.8095659875996458,0.8059964726631395,0.8059964726631395,0.7689357622243529,Ancestor-Descendant
0.8501055594651654,0.8431372549019607,0.8445378151260504,0.8393489030431706,Ancestor-Descendant
0.8688644688644689,0.8455882352941176,0.8679245283018868,0.8556067588325651,Ancestor-Descendant
0.8133595284872298,0.7830188679245284,0.7830188679245284,0.6329411764705882,Ancestor-Descendant
0.7532163742690059,0.7393800229621125,0.7445086705202312,0.7630331753554502,Ancestor-Descendant
0.8079331941544885,0.7541625857002938,0.7939999999999998,0.8179916317991632,Ancestor-Descendant
0.8519163763066202,0.857872340425532,0.857872340425532,0.8112874779541446,Ancestor-Descendant
0.8761904761904762,0.8761904761904762,0.8653846153846154,0.8166214995483289,Ancestor-Descendant
0.8428290766208251,0.8094339622641509,0.8348170128585559,0.8181818181818181,Ancestor-Descendant
0.7834456207892204,0.8033866415804328,0.791271347248577,0.811284046692607,Ancestor-Descendant
0.8720514653323802,0.8698140200286123,0.8467966573816156,0.8402985074626865,Ancestor-Descendant
0.8085106382978723,0.8027888446215139,0.8027888446215139,0.816032887975334,Ancestor-Descendant
0.8463768115942029,0.8598848368522073,0.8463035019455253,0.8015794669299112,Ancestor-Descendant
0.8659942363112393,0.8417366946778712,0.8482709950599859,0.8259895444361464,Ancestor-Descendant
0.8365465213746858,0.7993501218521527,0.7977254264825345,0.8059210526315788,Ancestor-Descendant
0.7940446650124069,0.8019441069258809,0.7942238267148014,0.8,Ancestor-Descendant
0.8297101449275363,0.8376681614349777,0.8003679852805888,0.6782608695652174,Ancestor-Descendant
0.8132231404958677,0.8807482462977396,0.8475120385232745,0.8425324675324676,Ancestor-Descendant
0.8304568527918781,0.846613545816733,0.823529411764706,0.8194014447884417,Ancestor-Descendant
