Ground,reSASC,Dollo-k,PP,infSCITE,Measure
-2043.6561320161236,-1885.764521,-2112.878012,-2112.878012,0.0,Log-Likelihood
-1437.9558470450827,-1232.750665,-1539.476523,-1539.476523,0.0,Log-Likelihood
-1726.3436806618847,-1570.522203,-1581.904863,-1581.904863,0.0,Log-Likelihood
-1812.56805472312,-1639.305162,-1851.887952,-1851.887952,0.0,Log-Likelihood
-1805.7777084980044,-1642.101716,-1747.192248,-1747.192248,0.0,Log-Likelihood
-2171.411139225297,-2115.769504,-2296.953446,-2296.953446,0.0,Log-Likelihood
-1219.8566558876194,-1070.052213,-1471.807353,-1471.807353,0.0,Log-Likelihood
-1506.3027199841622,-1398.827986,-1495.580595,-1495.580595,0.0,Log-Likelihood
-1346.50769490023,-1185.10136,-1287.545299,-1287.545299,0.0,Log-Likelihood
-1594.453954490351,-1427.166529,-1656.186059,-1656.186059,0.0,Log-Likelihood
-1820.162414074551,-1654.318852,-1850.118677,-1850.118677,0.0,Log-Likelihood
-1301.7062417798645,-1132.596056,-1151.567156,-1151.567156,0.0,Log-Likelihood
-1440.7815334384195,-1302.99393,-1380.775439,-1380.775439,0.0,Log-Likelihood
-1119.061383602224,-962.853069,-1258.341576,-1213.391497,0.0,Log-Likelihood
-1344.1336586049372,-1230.200587,-1245.377467,-1245.377467,0.0,Log-Likelihood
-1161.1695823037312,-1013.728326,-1030.268993,-1030.268993,0.0,Log-Likelihood
-1197.2303058442033,-1084.733763,-1529.555363,-1529.555363,0.0,Log-Likelihood
-1374.2937575507588,-1306.01929,-1645.974735,-1645.974735,0.0,Log-Likelihood
-1669.4881148470674,-1516.322306,-1780.041778,-1780.041778,0.0,Log-Likelihood
-1278.7333276284746,-1143.424472,-1185.160892,-1185.160892,0.0,Log-Likelihood
-2003.8704169620864,-1847.595973,-2034.981464,-2034.981464,0.0,Log-Likelihood
-1226.7549475514115,-1057.575977,-1237.433035,-1237.433035,0.0,Log-Likelihood
-1817.9679055640179,-1694.252494,-2093.648074,-2093.648074,0.0,Log-Likelihood
-1471.2491512020429,-1268.290636,-1281.538153,-1281.538153,0.0,Log-Likelihood
-1551.7442053758784,-1396.075826,-1445.400686,-1445.400686,0.0,Log-Likelihood
-1328.2465805042611,-1282.120872,-1384.940239,-1384.940239,0.0,Log-Likelihood
-1202.3549254406403,-1033.36015,-1040.94859,-1040.94859,0.0,Log-Likelihood
-1465.4282683886493,-1302.499308,-1589.323234,-1589.323234,0.0,Log-Likelihood
-1464.6079778639612,-1424.252704,-1627.173229,-1664.470361,0.0,Log-Likelihood
-1524.4742419946049,-1440.889353,-1454.169123,-1454.169123,0.0,Log-Likelihood
-1155.7663975275739,-994.033457,-1106.044041,-1106.044041,0.0,Log-Likelihood
-1359.5473299875416,-1161.937244,-1191.343166,-1191.343166,0.0,Log-Likelihood
-1336.2937424432312,-1215.797595,-1329.624194,-1329.624194,0.0,Log-Likelihood
-1494.7649024564746,-1345.581876,-1399.106431,-1399.106431,0.0,Log-Likelihood
-1511.0824087339847,-1404.519239,-1565.878949,-1565.878949,0.0,Log-Likelihood
-1445.5244871667653,-1276.681699,-1299.447018,-1299.447018,0.0,Log-Likelihood
-1580.5126071342354,-1404.081379,-1417.361148,-1417.361148,0.0,Log-Likelihood
-1273.5666025775863,-1134.020854,-1407.189296,-1407.189296,0.0,Log-Likelihood
-1171.2589256234367,-1015.575997,-1025.181457,-1025.181457,0.0,Log-Likelihood
-1367.64339238276,-1228.83717,-1621.644298,-1621.644298,0.0,Log-Likelihood
-902.9872911118379,-741.493471,-781.460203,-781.460203,0.0,Log-Likelihood
-2051.2302934717036,-1865.851944,-2074.06777,-2074.06777,0.0,Log-Likelihood
-1225.8167215058568,-1063.046431,-1178.2825,-1178.2825,0.0,Log-Likelihood
-1795.2740037282042,-1639.014002,-1891.443919,-1889.546809,0.0,Log-Likelihood
-1303.0539275609874,-1160.498782,-1361.59244,-1361.59244,0.0,Log-Likelihood
-1560.8617629474265,-1444.362233,-1737.946889,-1737.946889,0.0,Log-Likelihood
-1608.9942614055838,-1456.985642,-1639.108201,-1639.108201,0.0,Log-Likelihood
-1628.8418606230966,-1445.810483,-1447.707593,-1447.707593,0.0,Log-Likelihood
-1331.3146403205765,-1147.758503,-1497.37993,-1497.37993,0.0,Log-Likelihood
-1288.1434728013735,-1123.505998,-1213.684578,-1211.787468,0.0,Log-Likelihood
